1	2	3
36878.1	26192.6	10685.4
45164.7	31838.2	13326.5
25271.9	17881.7	7390.2
81340.1	57158.6	24181.5
7559.8	5548.7	2011.1
19650.5	14101.9	5548.7
13496.1	9861.6	3634.5
25441.5	17494.1	7947.4
2519.9	1865.7	654.2
23260.8	16403.7	6857.1
20425.9	14344.2	6081.7
11073.1	7729.4	3343.7
40536.8	28615.6	11921.2
5694.1	4119.1	1575.0
29875.6	21661.6	8214.0
7390.2	5306.4	2083.8
32904.3	23430.4	9473.9
18972.1	14392.6	4579.5
6081.7	4579.5	1502.3
7487.1	5282.1	2204.9
40197.6	29415.2	10782.4
18996.3	13302.3	5694.1
7705.1	5476.0	2229.2
52700.2	37338.4	15361.8
39107.2	26968.0	12139.2
59121.2	42596.3	16524.9
31305.2	22533.9	8771.3
27331.4	20014.0	7317.5
20353.2	14634.9	5718.3
12526.9	8674.3	3852.6
14465.3	9982.8	4482.6
40464.1	28785.2	11678.9
33825.1	24351.2	9473.9
38138.0	26992.2	11145.8
33728.2	23963.5	9764.7
4531.0	3319.5	1211.5
4288.7	3101.4	1187.3
3610.3	2544.2	1066.1
39882.6	27888.7	11993.9
3028.8	2326.1	702.7
47830.0	34721.6	13108.4
5136.8	3610.3	1526.5
7390.2	5330.6	2059.6
14441.1	10322.0	4119.1
35908.9	24908.4	11000.4
6493.6	4846.0	1647.6
59000.1	42741.7	16258.3
23285.0	16452.2	6832.9
22437.0	15943.3	6493.6
12526.9	8771.3	3755.7
13132.7	9352.8	3779.9
34067.4	24763.1	9304.3
29730.2	21007.4	8722.8
58006.6	41069.8	16936.8
7075.2	4797.5	2277.6
41554.5	29342.5	12211.9
74313.4	52579.1	21734.3
42136.0	30069.4	12066.5
40173.3	28712.5	11460.8
73998.4	51585.7	22412.8
13568.8	9740.5	3828.3
40948.7	28252.2	12696.5
25780.7	18511.7	7269.0
17760.6	12963.1	4797.5
23382.0	16742.9	6639.0
19432.5	13835.3	5597.1
3513.3	2471.5	1041.9
16985.2	12260.4	4724.9
20353.2	14586.5	5766.7
28082.6	19941.3	8141.3
2641.1	1744.6	896.5
81945.9	58200.5	23745.4
23575.8	16864.1	6711.7
4579.5	3368.0	1211.5
48944.6	34794.3	14150.3
29487.9	20571.3	8916.6
65372.5	45988.5	19384.0
31305.2	22461.2	8844.0
17639.4	12042.3	5597.1
12260.4	8553.2	3707.2
24666.1	17615.2	7050.9
7390.2	5306.4	2083.8
22509.7	15555.7	6954.0
23915.0	17203.3	6711.7
13690.0	9498.2	4191.8
7584.0	5718.3	1865.7
45770.5	32322.8	13447.6
3077.2	2156.5	920.7
103728.6	73586.5	30142.1
21903.9	15119.5	6784.4
31377.9	21879.7	9498.2
14441.1	10249.3	4191.8
4603.7	3149.9	1453.8
18172.5	13205.4	4967.1
20668.2	15046.8	5621.4
16597.5	11751.6	4846.0
45237.4	31886.7	13350.7
22776.2	16306.8	6469.4
27452.6	19941.3	7511.3
14416.9	10443.1	3973.7
20280.5	14416.9	5863.7
7753.6	5209.4	2544.2
17857.5	12502.7	5354.8
10540.1	7220.5	3319.5
15749.5	10758.1	4991.4
11436.6	8141.3	3295.3
24835.8	17639.4	7196.3
2810.7	2108.0	702.7
2738.0	1938.4	799.6
29245.6	20571.3	8674.3
25029.6	17518.3	7511.3
46352.0	32734.7	13617.3
67214.0	48993.1	18221.0
13544.6	9570.9	3973.7
6106.0	4700.6	1405.3
42499.4	29560.6	12938.8
87615.7	62077.3	25538.4
33776.6	24011.9	9764.7
19117.5	12648.1	6469.4
5136.8	3392.2	1744.6
14004.9	9522.4	4482.6
15337.6	11048.9	4288.7
6130.2	4264.5	1865.7
40633.7	28857.9	11775.8
27355.7	19650.5	7705.1
25708.0	18148.3	7559.8
56262.1	40754.9	15507.2
4991.4	3586.0	1405.3
11363.9	8189.7	3174.1
6687.5	4531.0	2156.5
2471.5	1962.6	508.8
21298.2	15192.2	6106.0
55850.2	39737.2	16113.0
43638.2	30796.3	12841.9
15168.0	10709.7	4458.3
