1	2	3
29335.6	13782.2	14250.4
19352.5	10646.3	9185.3
90845.4	42030.5	46577.7
3687.5	955.0	1871.6
34277.4	15802.6	16894.9
30559.5	13846.7	15336.2
9430.7	3592.3	5787.1
15681.2	7732.0	7152.7
45923.2	23044.9	22388.6
55489.0	27927.5	26928.1
44888.7	21165.2	21162.5
62516.1	30569.4	30567.0
3102.3	1725.3	1672.0
22005.1	12245.4	11033.1
23554.0	11302.6	11386.6
49827.8	24415.8	25402.1
57676.8	28097.7	28216.7
26212.3	12749.2	13149.9
103918.6	51925.2	49712.3
11305.6	6139.0	5203.4
31547.4	15786.7	15877.7
3685.9	2948.4	1970.6
118677.9	58375.4	58668.4
11563.9	4387.2	4453.7
20455.1	9661.3	9724.7
35393.3	17750.7	17928.8
4743.4	2611.6	3269.3
13520.7	7052.5	7033.8
33340.8	15967.1	16316.6
11028.3	4914.5	6160.9
39136.6	19701.3	18647.9
23084.8	10866.4	11411.8
40357.0	20715.2	19842.4
32822.5	16650.2	14858.5
10188.4	5902.2	4236.8
6804.7	4259.2	2776.9
25075.4	11281.5	13783.7
12984.9	5993.6	6501.9
9746.8	4925.7	4582.0
33851.6	17667.5	16379.7
41362.8	20140.3	21410.6
7450.9	2297.1	3180.5
7251.6	2874.4	3909.3
11333.1	6323.9	5359.3
21824.6	9315.2	11562.5
5371.2	1307.4	3778.2
69855.2	34432.9	34835.0
53788.0	25805.7	25937.0
22205.6	10092.1	10707.6
52172.1	24387.6	26740.4
86266.8	43243.4	40628.0
16398.2	7843.1	8516.0
43536.9	21353.5	22549.6
45075.4	21103.5	23107.8
13422.5	5629.0	6442.1
70209.5	35895.2	34585.8
49164.2	22203.7	25238.0
7830.9	5133.2	4560.3
20759.8	9118.2	10344.1
15366.8	7177.1	7955.2
41271.4	19960.6	19881.7
31797.0	14372.5	14747.5
32386.1	16598.5	14989.0
45199.1	21278.7	22436.6
50471.2	24743.7	24816.3
61277.2	29245.6	29689.2
8711.1	5560.1	3900.6
9198.6	5123.2	3889.6
41844.8	20807.6	19874.3
17393.8	8514.6	6688.9
17327.1	9035.4	8578.8
33081.1	16674.9	16084.3
10891.2	5826.3	5399.2
11775.6	5178.2	6435.9
16649.4	6903.0	7307.4
22789.6	11932.1	9910.5
